model_id,scene,corridor,split,trained_on,labelled,threshold,true_count,raw_detections,kept_after_dedup,count_ratio,count_error_pct,tp,precision,recall,f1,tp_greedy,precision_greedy,recall_greedy,f1_greedy,labels_multi_matched,dets_multi_matching,centered_recall,centered_kp_err_px,matched_kp_err_px,score_p10,score_p25,score_median,score_p75,score_p90,score_mean,kp_score_mean,mean_streak_len_m,median_collinearity_px,windows,valid_km2,det_per_km2,eval_seconds
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,0.3,80,8,7,0.087,91.2,7,1.0,0.0875,0.1609,7,1.0,0.0875,0.1609,0,0,0.0125,10.493,1.312,0.3188,0.3632,0.4072,0.503,0.7271,0.4844,10.2901,32.26,0.633,1788,4.44,1.58,96.6
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,0.5,80,2,2,0.025,97.5,2,1.0,0.025,0.0488,2,1.0,0.025,0.0488,0,0,0.0,10.493,1.197,0.6212,0.6742,0.7625,0.8508,0.9038,0.7625,9.732,31.22,0.198,1788,4.44,0.45,96.6
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,0.7,80,1,1,0.013,98.8,1,1.0,0.0125,0.0247,1,1.0,0.0125,0.0247,0,0,0.0,10.493,1.011,0.9391,0.9391,0.9391,0.9391,0.9391,0.9391,12.3681,33.88,0.307,1788,4.44,0.23,96.6
kprcnn-adamiak-v2,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.3,89,10,9,0.101,89.9,9,1.0,0.1011,0.1837,9,1.0,0.1011,0.1837,0,0,0.0,10.287,1.069,0.3741,0.3948,0.4627,0.5613,0.7156,0.5234,11.2066,37.49,0.301,1829,4.548,1.98,101.3
kprcnn-adamiak-v2,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.5,89,4,4,0.045,95.5,4,1.0,0.0449,0.086,4,1.0,0.0449,0.086,0,0,0.0,10.287,1.29,0.5536,0.5586,0.6075,0.731,0.8702,0.6821,11.8077,37.52,0.297,1829,4.548,0.88,101.3
kprcnn-adamiak-v2,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.7,89,1,1,0.011,98.9,1,1.0,0.0112,0.0222,1,1.0,0.0112,0.0222,0,0,0.0,10.287,0.916,0.963,0.963,0.963,0.963,0.963,0.963,11.7503,37.45,0.906,1829,4.548,0.22,101.3
kprcnn-adamiak-v2,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.3,56,5,5,0.089,91.1,4,0.8,0.0714,0.1311,4,0.8,0.0714,0.1311,0,0,0.0,10.315,0.522,0.3486,0.3489,0.3631,0.3985,0.4648,0.3936,11.6231,36.11,0.292,891,2.2,2.27,50.9
kprcnn-adamiak-v2,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.5,56,1,1,0.018,98.2,1,1.0,0.0179,0.0351,1,1.0,0.0179,0.0351,0,0,0.0,10.315,0.296,0.5091,0.5091,0.5091,0.5091,0.5091,0.5091,12.8945,35.19,0.454,891,2.2,0.45,50.9
kprcnn-adamiak-v2,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.7,56,0,0,0.0,100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,10.315,,,,,,,,,,,891,2.2,0.0,50.9
kprcnn-adamiak-v2,auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,unseen,0,1,0.3,42,5,5,0.119,88.1,4,0.8,0.0952,0.1702,4,0.8,0.0952,0.1702,0,0,0.0238,2.738,0.862,0.3894,0.4776,0.5449,0.6593,0.7069,0.5502,11.4913,33.19,0.263,2230,6.257,0.8,123.3
kprcnn-adamiak-v2,auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,unseen,0,1,0.5,42,3,3,0.071,92.9,3,1.0,0.0714,0.1333,3,1.0,0.0714,0.1333,0,0,0.0,2.738,0.881,0.5678,0.6021,0.6593,0.699,0.7228,0.6476,11.4877,34.93,0.132,2230,6.257,0.48,123.3
kprcnn-adamiak-v2,auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,unseen,0,1,0.7,42,1,1,0.024,97.6,1,1.0,0.0238,0.0465,1,1.0,0.0238,0.0465,0,0,0.0,2.738,0.883,0.7387,0.7387,0.7387,0.7387,0.7387,0.7387,10.1234,31.94,0.368,2230,6.257,0.16,123.3
kprcnn-adamiak-v2,Tri-Cities-New_01_20260611,Tri-Cities (arid),unseen,0,1,0.3,105,6,5,0.048,95.2,4,0.8,0.0381,0.0727,4,0.8,0.0381,0.0727,0,0,0.0,1.203,0.745,0.3406,0.396,0.504,0.8316,0.8549,0.5811,10.3437,30.08,0.484,7986,19.644,0.25,390.4
kprcnn-adamiak-v2,Tri-Cities-New_01_20260611,Tri-Cities (arid),unseen,0,1,0.5,105,4,3,0.029,97.1,2,0.6667,0.019,0.037,2,0.6667,0.019,0.037,0,0,0.0,1.203,0.86,0.5696,0.6678,0.8316,0.851,0.8626,0.7353,10.6946,31.66,0.484,7986,19.644,0.15,390.4
kprcnn-adamiak-v2,Tri-Cities-New_01_20260611,Tri-Cities (arid),unseen,0,1,0.7,105,3,2,0.019,98.1,2,1.0,0.019,0.0374,2,1.0,0.019,0.0374,0,0,0.0,1.203,0.86,0.8354,0.8413,0.851,0.8607,0.8665,0.851,9.6913,29.35,0.322,7986,19.644,0.1,390.4
kprcnn-adamiak-v2,spokane-i90_01_20260622,Spokane (arid),unseen,0,1,0.3,55,2,2,0.036,96.4,2,1.0,0.0364,0.0702,2,1.0,0.0364,0.0702,0,0,0.0,0.756,0.814,0.512,0.5243,0.5448,0.5653,0.5776,0.5448,13.8714,35.03,0.233,7495,20.149,0.1,326.9
kprcnn-adamiak-v2,spokane-i90_01_20260622,Spokane (arid),unseen,0,1,0.5,55,2,2,0.036,96.4,2,1.0,0.0364,0.0702,2,1.0,0.0364,0.0702,0,0,0.0,0.756,0.814,0.512,0.5243,0.5448,0.5653,0.5776,0.5448,13.8714,35.03,0.233,7495,20.149,0.1,326.9
kprcnn-adamiak-v2,spokane-i90_01_20260622,Spokane (arid),unseen,0,1,0.7,55,0,0,0.0,100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.756,,,,,,,,,,,7495,20.149,0.0,326.9
