model_id,scene,corridor,split,trained_on,labelled,threshold,true_count,raw_detections,kept_after_dedup,count_ratio,count_error_pct,tp,precision,recall,f1,tp_greedy,precision_greedy,recall_greedy,f1_greedy,labels_multi_matched,dets_multi_matching,centered_recall,centered_kp_err_px,matched_kp_err_px,score_p10,score_p25,score_median,score_p75,score_p90,score_mean,kp_score_mean,mean_streak_len_m,median_collinearity_px,windows,valid_km2,det_per_km2,eval_seconds
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,0.3,80,380,142,1.775,77.5,43,0.3028,0.5375,0.3874,43,0.3028,0.5375,0.3874,0,0,0.9875,1.169,1.314,0.4251,0.6549,0.8447,0.9735,0.9953,0.7804,2.3205,31.46,0.412,2943,4.44,31.98,112.9
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,0.5,80,265,118,1.475,47.5,42,0.3559,0.525,0.4242,42,0.3559,0.525,0.4242,0,0,0.9875,1.169,1.28,0.66,0.7901,0.8966,0.9799,0.9961,0.8597,2.7643,32.77,0.382,2943,4.44,26.58,112.9
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,0.7,80,182,99,1.238,23.8,42,0.4242,0.525,0.4693,42,0.4242,0.525,0.4693,0,0,0.925,1.169,1.28,0.7884,0.8246,0.9372,0.9823,0.9962,0.9063,2.9313,33.01,0.376,2943,4.44,22.3,112.9
kprcnn-warmup-v1,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.3,89,360,138,1.551,55.1,59,0.4275,0.6742,0.5232,59,0.4275,0.6629,0.5198,0,1,1.0,1.127,1.193,0.4367,0.7128,0.9172,0.9881,0.9979,0.8234,3.1153,32.62,0.394,3010,4.548,30.34,112.6
kprcnn-warmup-v1,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.5,89,254,123,1.382,38.2,59,0.4797,0.6742,0.5605,59,0.4797,0.6629,0.5566,0,1,1.0,1.127,1.193,0.6423,0.7937,0.9306,0.9897,0.9983,0.8798,3.4479,32.79,0.365,3010,4.548,27.04,112.6
kprcnn-warmup-v1,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.7,89,184,104,1.169,16.9,56,0.5385,0.6404,0.585,56,0.5385,0.6292,0.5803,0,1,0.9551,1.127,1.16,0.7779,0.891,0.9606,0.9925,0.9987,0.9288,3.855,33.58,0.334,3010,4.548,22.87,112.6
kprcnn-warmup-v1,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.3,56,251,96,1.714,71.4,37,0.3854,0.6964,0.4962,37,0.3854,0.6607,0.4868,0,2,1.0,0.896,1.025,0.5157,0.7155,0.8835,0.977,0.9945,0.8245,3.4002,33.32,0.315,1462,2.2,43.64,58.8
kprcnn-warmup-v1,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.5,56,179,88,1.571,57.1,37,0.4205,0.6964,0.5243,37,0.4205,0.6607,0.5139,0,2,1.0,0.896,1.025,0.6235,0.7754,0.9015,0.981,0.9951,0.8618,3.6548,33.61,0.304,1462,2.2,40.0,58.8
kprcnn-warmup-v1,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.7,56,124,73,1.304,30.4,34,0.4658,0.6429,0.5402,34,0.4658,0.6071,0.5271,0,2,0.9286,0.896,1.022,0.7804,0.8693,0.9533,0.9879,0.9968,0.9162,4.0075,34.32,0.287,1462,2.2,33.18,58.8
kprcnn-warmup-v1,auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,trained,1,1,0.3,42,287,130,3.095,209.5,35,0.2692,0.8333,0.407,35,0.2692,0.8333,0.407,0,0,1.0,0.911,1.086,0.3745,0.5205,0.7685,0.9567,0.9965,0.735,1.7298,28.29,0.323,3754,6.257,20.78,129.6
