model_id,scene,corridor,split,trained_on,labelled,threshold,true_count,raw_detections,kept_after_dedup,count_ratio,count_error_pct,tp,precision,recall,f1,tp_greedy,precision_greedy,recall_greedy,f1_greedy,labels_multi_matched,dets_multi_matching,centered_recall,centered_kp_err_px,matched_kp_err_px,score_p10,score_p25,score_median,score_p75,score_p90,score_mean,kp_score_mean,mean_streak_len_m,median_collinearity_px,windows,valid_km2,det_per_km2,eval_seconds
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,0.3,80,119,86,1.075,7.5,45,0.5233,0.5625,0.5422,45,0.5233,0.5625,0.5422,0,0,1.0,0.967,1.287,0.3847,0.5027,0.7212,0.8864,0.9404,0.6865,8.2066,30.65,0.378,574,4.44,19.37,201.3
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,0.5,80,84,64,0.8,20.0,41,0.6406,0.5125,0.5694,41,0.6406,0.5125,0.5694,0,0,1.0,0.967,1.312,0.5838,0.6517,0.794,0.902,0.9475,0.7811,8.8519,31.68,0.378,574,4.44,14.42,201.3
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,0.7,80,54,44,0.55,45.0,33,0.75,0.4125,0.5323,33,0.75,0.4125,0.5323,0,0,0.95,0.967,1.239,0.7468,0.7921,0.8844,0.9318,0.9506,0.8619,9.4621,32.39,0.31,574,4.44,9.91,201.3
kprcnn-adamiak-v2,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.3,89,148,105,1.18,18.0,60,0.5714,0.6742,0.6186,60,0.5714,0.6742,0.6186,0,0,1.0,0.755,1.145,0.3753,0.5788,0.7712,0.8864,0.9521,0.7166,8.8905,33.51,0.488,588,4.548,23.09,187.3
kprcnn-adamiak-v2,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.5,89,112,85,0.955,4.5,58,0.6824,0.6517,0.6667,58,0.6824,0.6517,0.6667,0,0,0.9775,0.755,1.153,0.5997,0.6872,0.8133,0.9091,0.959,0.7958,9.6558,34.19,0.447,588,4.548,18.69,187.3
kprcnn-adamiak-v2,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.7,89,73,63,0.708,29.2,47,0.746,0.5281,0.6184,47,0.746,0.5281,0.6184,0,0,0.9775,0.755,1.119,0.746,0.7978,0.8688,0.9365,0.96,0.8615,10.0475,35.11,0.437,588,4.548,13.85,187.3
kprcnn-adamiak-v2,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.3,56,97,70,1.25,25.0,36,0.5143,0.6607,0.5784,36,0.5143,0.6429,0.5714,0,1,1.0,0.736,1.166,0.3684,0.5786,0.7284,0.8638,0.9158,0.6994,8.914,32.49,0.374,290,2.2,31.82,104.8
kprcnn-adamiak-v2,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.5,56,71,58,1.036,3.6,34,0.5862,0.625,0.605,34,0.5862,0.6071,0.5965,0,1,1.0,0.736,1.19,0.5803,0.6636,0.7734,0.8726,0.924,0.7668,9.2453,33.31,0.338,290,2.2,26.37,104.8
kprcnn-adamiak-v2,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.7,56,44,38,0.679,32.1,26,0.6842,0.4821,0.5657,26,0.6842,0.4643,0.5532,0,1,0.9821,0.736,0.932,0.7381,0.7808,0.8596,0.9097,0.9463,0.8463,9.7651,33.79,0.212,290,2.2,17.27,104.8
kprcnn-adamiak-v2,auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,unseen,0,1,0.3,42,71,57,1.357,35.7,30,0.5263,0.7143,0.6061,30,0.5263,0.7143,0.6061,0,0,0.9762,0.857,0.873,0.3763,0.5004,0.7018,0.8862,0.9343,0.6763,8.5886,29.79,0.372,677,6.257,9.11,166.8
