model_id,scene,corridor,split,trained_on,labelled,threshold,true_count,raw_detections,kept_after_dedup,count_ratio,count_error_pct,tp,precision,recall,f1,tp_greedy,precision_greedy,recall_greedy,f1_greedy,labels_multi_matched,dets_multi_matching,centered_recall,centered_kp_err_px,matched_kp_err_px,score_p10,score_p25,score_median,score_p75,score_p90,score_mean,kp_score_mean,mean_streak_len_m,median_collinearity_px,windows,valid_km2,det_per_km2,eval_seconds
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,0.3,80,253,128,1.6,60.0,43,0.3359,0.5375,0.4135,43,0.3359,0.5375,0.4135,0,0,1.0,1.036,1.178,0.347,0.4988,0.7181,0.9365,0.9867,0.7048,2.6284,31.29,0.3,1788,4.44,28.83,91.2
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,0.5,80,161,96,1.2,20.0,40,0.4167,0.5,0.4545,40,0.4167,0.5,0.4545,0,0,0.9375,1.036,1.156,0.5787,0.6678,0.8558,0.9557,0.9934,0.812,3.2149,32.55,0.258,1788,4.44,21.62,91.2
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,0.7,80,99,67,0.838,16.2,32,0.4776,0.4,0.4354,32,0.4776,0.4,0.4354,0,0,0.825,1.036,1.147,0.7792,0.8399,0.9363,0.9739,0.9971,0.9031,3.6883,33.6,0.245,1788,4.44,15.09,91.2
kprcnn-warmup-v1,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.3,89,247,127,1.427,42.7,60,0.4724,0.6854,0.5593,60,0.4724,0.6742,0.5556,0,1,1.0,0.868,1.169,0.482,0.574,0.879,0.9716,0.9963,0.7845,3.8744,34.76,0.395,1829,4.548,27.92,94.9
kprcnn-warmup-v1,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.5,89,180,109,1.225,22.5,58,0.5321,0.6629,0.5904,58,0.5321,0.6517,0.5859,0,1,0.9888,0.868,1.165,0.5525,0.7333,0.9031,0.9775,0.9965,0.8434,4.2225,35.06,0.395,1829,4.548,23.97,94.9
kprcnn-warmup-v1,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.7,89,131,87,0.978,2.2,53,0.6092,0.5955,0.6023,53,0.6092,0.5955,0.6023,0,0,0.9213,0.868,1.169,0.7767,0.8634,0.9454,0.9843,0.9974,0.9123,4.8816,35.89,0.418,1829,4.548,19.13,94.9
kprcnn-warmup-v1,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.3,56,168,85,1.518,51.8,34,0.4,0.6429,0.4932,34,0.4,0.6071,0.4823,0,2,0.9821,0.853,1.272,0.4638,0.5731,0.822,0.957,0.9905,0.7547,3.36,33.78,0.275,891,2.2,38.64,49.9
kprcnn-warmup-v1,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.5,56,125,73,1.304,30.4,32,0.4384,0.5893,0.5027,32,0.4384,0.5714,0.4961,0,1,0.9286,0.853,1.016,0.5618,0.661,0.8696,0.9699,0.9914,0.8132,3.5013,33.78,0.275,891,2.2,33.18,49.9
kprcnn-warmup-v1,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.7,56,71,51,0.911,8.9,26,0.5098,0.4643,0.486,26,0.5098,0.4643,0.486,0,0,0.8214,0.853,0.954,0.7616,0.8597,0.9252,0.9871,0.993,0.9067,4.2353,34.49,0.231,891,2.2,23.18,49.9
kprcnn-warmup-v1,auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,trained,1,1,0.3,42,180,104,2.476,147.6,33,0.3173,0.7857,0.4521,33,0.3173,0.7857,0.4521,0,0,0.9762,0.86,1.013,0.3757,0.4986,0.7463,0.9041,0.9795,0.7026,2.6879,30.12,0.326,2230,6.257,16.62,103.6
